Licence No.,Premises Name,Premises Address,場所名稱,場所地址,Premises Phone No.,Premises Fax No.,Premises Email Address
H/5834,GTA HOUSE,"G/F-2/F, Block V6,Hong Kong Golf and Tennis Academy,81 Tai Chung Hau, Sai Kung, New Territories.",GTA HOUSE,新界西貢大涌口81號Hong Kong Golf and Tennis Academy第V6座地下至2字樓,3187 8900,,guestservice@hkgta.com
H/5836,CASTLE INN,"Flat C4, 6/F, Block C,Chungking Mansion, 40 Nathan Road, Tsim Sha Tsui, Kowloon.",CASTLE INN,九龍尖沙咀彌敦道40號重慶大廈C座6字樓C4室,9762 6992,,castleinnhk@gmail.com
H/5839,GTA HOUSE,"G/F (Portion), 1/F(Portion) & 2/F(Portion),Block 1, Hong Kong Golf and Tennis Academy,81 Tai Chung Hau, Sai Kung, New Territories.",GTA HOUSE,"新界西貢大涌口81號Hong Kong Golf and Tennis Academy第1座地下(部份), 1字樓(部份)及2字樓(部份)",3187 8900,,guestservice@hkgta.com
H/5840,SIMPLEX GUESTHOUSE,"Flat E4, 7/F, Block E, Chungking Mansion40 Nathan Road, Tsim Sha Tsui, Kowloon.",SIMPLEX GUESTHOUSE,九龍尖沙咀彌敦道40號重慶大廈E座7字樓E4室,6644 3016,,
H/5842,WEAVE STUDIOS - SAI YING PUN,"G/F-3/F, 5/F-12/F, 15/F-23/F & 25/F-32/F,338 Queen's Road West,Western, Hong Kong.",WEAVE STUDIOS - SAI YING PUN,"香港西區皇后大道西338號地下-3字樓,5字樓-12字樓,15字樓-23字樓及25字樓-32字樓",6688 3725,,pfm.syp@weave-living.com
H/5844,ZI XIN,"Flat 11, 8/F, Hai Phong Mansion,101 Nathan Road, Tsim Sha Tsui, Kowloon.",紫馨賓館,九龍尖沙咀彌敦道101號海防大廈8字樓11室,6522 6550,,
H/5849,MERRY LAND TANZANIA GUEST HOUSE,"Flat D2, 9/F, Block D, Mirador Mansion,58 Nathan Road, Tsim Sha Tsui, Kowloon.",欣林坦桑尼亞賓舘,九龍尖沙咀彌敦道58號美麗都大廈D座9字樓D2室,9577 4622,,
H/5852,MOJO NOMAD,"23/F-27/F, 100 Shek Pai Wan Road,Aberdeen, Hong Kong.",MOJO NOMAD,香港香港仔石排灣道100號23-27字樓,2165 1015,,jeffery.ho@ovologroup.com
H/5856,VV GUESTHOUSE,"Flat B & C, 11/F, Kingland Apartments,739 Nathan Road, Mong Kok, Kowloon.",維維賓館,九龍旺角彌敦道739號金輪大廈11字樓B及C室,2398 1778,2391 5399,vvzhu2388@gmail.com
H/5863,LUCKY COMFORT INN,"Flat I, 5/F, New Lucky House,15 Jordan Road,Jordan, Kowloon.",華豐金怡賓館,九龍佐敦佐敦道15號華豐大廈5字樓I室,2730 3963,,hkcomfortinn@gmail.com
H/5868,J'S INN,"Flat E3, 16/F, Block E, Chungking Mansion, 40 Nathan Road, Tsim Sha Tsui, Kowloon.",J'S INN,九龍尖沙咀彌敦道40號重慶大廈E座16字樓E3室,9876 6950,,jsinnhk@gmail.com
H/5871,EGO,"Flat C1, 4/F, Block C, Tsim Sha Tsui Mansion, 87 Nathan Road, Tsim Sha Tsui, Kowloon.",EGO,九龍尖沙咀彌敦道87號華源大廈C座4字樓C1室,3498 5299,,
H/5873,SKYVIEW HOSTEL,"Flat B4, 14/F, Block B,Chungking Mansion, 40 Nathan Road, Tsim Sha Tsui, Kowloon.",SKYVIEW HOSTEL,九龍尖沙咀彌敦道40號重慶大廈B座14字樓B4室,2369 1933,2723 7960,sales@hotelskygroup.com
H/5886,MAN WA HOSTEL,"Flat A, 5/F, Yen Hong Building,45-47 Fa Yuen Street, Mong Kok,Kowloon.",民華賓館,九龍旺角花園街45-47號仁康大廈5字樓A室,2332 5226,,
H/5894,B&B MONGKOK HOSTEL,"Flat A, B & C, 16/F, Kingland Apartments,739 Nathan Road, Mong Kok, Kowloon.",比比旺角賓館,"九龍旺角彌敦道739號金輪大廈16字樓A, B & C室",2396 9090,,infor@bbhotel.com.hk
H/5896,OWL INN,"Flat 11, 4/F, Sincere House,83 Argyle Street, Mong Kok, Kowloon.",貓頭鷹旅舍,九龍旺角亞皆老街83號先施大廈4字樓11室,8491 7524,,polarbearinn@gmail.com
H/5898,太空賓館,"Flat 1808, 18/F, Sun Hing Building,607 Nathan Road, Mong Kok, Kowloon.",太空賓館,九龍旺角彌敦道607號新興大廈18字樓1808室,9408 3629,,s43747@gmail.com
H/5899,DUTCH HOSTEL,"Flat D2, 13/F, Block D, Chungking Mansion,40 Nathan Road, Tsim Sha Tsui, Kowloon.",DUTCH HOSTEL,九龍尖沙咀彌敦道40號重慶大廈D座13字樓D2室,2739 1515,,marrigold.hostel2010@yahoo.com
H/5900,CHAMPION GUEST HOUSE,"Flat J, 14/F, New Lucky House,15 Jordan Road, Jordan, Kowloon.",嘉賓賓館,九龍佐敦佐敦道15號華豐大廈14字樓J室,5483 3336,,
H/5906,SUN YING HOSTEL,"Flat 1105, 11/F, Sincere House,83 Argyle Street, Mong Kok, Kowloon.",新迎賓館,九龍旺角亞皆老街83號先施大廈11字樓1105室,9020 6741,,1243760034@qq.com
H/5914,STAY INN,"Flat 1908, 19/F, Sun Hing Building,607 Nathan Road,Mong Kok, Kowloon.",住哪兒,九龍旺角彌敦道607號新興大廈19字樓1908室,2388 3686,,luyaxinghk@gmail.com
H/5916,AH SHAN HOSTEL,"Flat 817, 8/F, Sincere House,83 Argyle Street, Mong Kok, Kowloon.",阿山旅館,九龍旺角亞皆老街83號先施大廈8字樓817室,2787 5934,,1406@ahshanhostel.com
H/5921,HAPPY HOLIDAYS HOSTEL,"Flat B1, 9/F, Block B, Tsim Sha Tsui Mansion,87 Nathan Road, Tsim Sha Tsui, Kowloon.",永樂旅館,九龍尖沙咀彌敦道87號華源大廈B座9字樓B1室,2722 1720,,
H/5925,奇奇賓館,"Flat 4, 7/F, Hai Phong Mansion,101 Nathan Road, Tsim Sha Tsui,Kowloon.",奇奇賓館,九龍尖沙咀彌敦道101號海防大廈7字樓4室,9833 0853,,doublek.ltd.2015@gmail.com
H/5927,FUJIAN GUEST HOUSE,"Flat F2, 6/F, Block F, Mirador Mansion,58 Nathan Road, Tsim Sha Tsui, Kowloon.",福建賓館,九龍尖沙咀彌敦道58號美麗都大廈F座6字樓F2室,2368 9932,2778 1776,13802289039@139.com
H/5928,AIRY,"Flat B, 8/F, May Ming Mansion,312 Nathan Road, Jordan, Kowloon.",AIRY,九龍佐敦彌敦道312號美明大廈8字樓B室,,,airystayhk@gmail.com
H/5931,GOLD PALACE HOSTEL LIMITED,"Flat 2201, 22/F, Sun Hing Building,607 Nathan Road, Mong Kok, Kowloon.",金坊賓館有限公司,九龍旺角彌敦道607號新興大廈22字樓2201室,6932 1590,,
H/5933,WOODLAND INN,"Flat 902, 9/F, Cheong Hing Building,72 Nathan Road, Tsim Sha Tsui, Kowloon.",林舍,九龍尖沙咀彌敦道72號昌興大廈9字樓902室,2739 3939/5100 1127,,greatest.timehk@gmail.com
H/5935,IN INN,"Flat 24, 3/F, Man Ying Building,2-24 Man Ying Street, Jordan, Kowloon.",迎旅舍,九龍佐敦文英街2-24號文英樓3字樓24室,9313 5601,,ininnservicedapartment@gmail.com
H/5938,RICH STAR,"Flat B3, 6/F, Block B, Tsim Sha Tsui Mansion,87 Nathan Road, Tsim Sha Tsui, Kowloon.",富恆星星,九龍尖沙咀彌敦道87號華源大廈B座6字樓B3室,9383 6689,,mmrich888@gmail.com
H/5946,SKYSTAR HOSTEL,"Flat E3, 14/F, Block E,Chungking Mansion, 40 Nathan Road, Tsim Sha Tsui, Kowloon.",SKYSTAR HOSTEL,九龍尖沙咀彌敦道40號重慶大廈E座14字樓E3室,2369 1933,2723 7960,sales@hotelskygroup.com
H/5948,168 YOUTH CO LIVING,"Flat B2, 8/F, Block B,Mirador Mansion, 58 Nathan Road,Tsim Sha Tsui, Kowloon.",168青年旅舍,九龍尖沙咀彌敦道58號美麗都大廈B座8字樓B2室,2311 2520,2813 8837,
H/5949,OASIS APARTMENTS,"Flat 1313, 13/F, Block C, Bell House,525-543A Nathan Road,Yau Ma Tei, Kowloon.",OASIS APARTMENTS,九龍油麻地彌敦道525-543A號寶寧大廈C座13字樓1313室,9371 0520,,paulyyw812@gmail.com
H/5950,THE MOOD LYNDHURST,"G/F, 6/F-23/F,38 Lyndhurst Terrace,Central, Hong Kong.",THE MOOD LYNDHURST,香港中環擺花街38號地下及6-23字樓,2903 5555,2587 9878,Lyn@themoodliving.com
H/5951,APPLE INN,"Flat B, 16/F, Phoenix Apartments,70 Lee Garden Road,Causeway Bay, Hong Kong.",蘋果旅館,香港銅鑼灣利園山道70號鳳鳴大廈16字樓B室,3462 3333,3157 7422,info@apple-inn.com
H/5954,新旺角賓館,"Flat A1, 6/F, Wing Wah Building,14-24 Sai Yeung Choi Street South,Mong Kok, Kowloon.",新旺角賓館,九龍旺角西洋菜南街14-24號榮華大樓6字樓A1室,2332 1431,,missfungmk@gmail.com
H/5956,MODERN GUEST HOUSE,"Flat A, 2/F, Dun Tak Mansion,33-35B Dundas Street,Mong Kok, Kowloon.",摩登賓館,九龍旺角登打士街33-35B號登德大廈2字樓A室,8108 8288,,le.leung@yahoo.com.hk
H/5961,MAN WAH HOSTEL,"Flat 505, 5/F, Sincere House,83 Argyle Street, Mong Kok, Kowloon.",文華旅舍,九龍旺角亞皆老街83號先施大廈5字樓505室,5112 3775,,
H/5963,RUBY HOSTEL,"Flat 17, 14/F, Alhambra Building,385 Nathan Road, Yau Ma Tei, Kowloon.",露比旅舍,九龍油麻地彌敦道385號平安大樓14字樓17室,5264 6827,,pannaqpannaq@gmail.com
H/5964,HOO SANG HOSTEL,"Flat 1816, 18/F, Sun Hing Building,607 Nathan Road, Mong Kok, Kowloon.",豪生文旅,九龍旺角彌敦道607號新興大廈18字樓1816室,6983 8183,,
H/5966,IN INN,"Flat F, 10/F, Lucky House, 22 Jordan Road, Jordan, Kowloon. ",迎旅舍,九龍佐敦佐敦道22號鴻運大樓10字樓F室,9313 5601,,ininnservicedapartment@gmail.com
H/5970,SMILEY INN,"Flat E2, 13/F, Block E, Chungking Mansion,40 Nathan Road, Tsim Sha Tsui, Kowloon.",霖悅居,九龍尖沙咀彌敦道40號重慶大廈E座13字樓E2室,,,comfortguesthouse1@gmail.com
H/5971,SEASONS GARDEN- CAUSEWAY BAY,"Flat D, 9/F, Haywood Mansion,57 Paterson Street,Causeway Bay, Hong Kong.",季節花園－銅鑼灣,香港銅鑼灣百德新街57號海華大廈9字樓D室,3591 2803,,galaxyhotelhk@gmail.com
H/5974,新一代小築,"Flat I, 2/F, Kwun Tong Lap Shing Building,305-325A Ngau Tau Kok Road,Ngau Tau Kok, Kowloon.",新一代小築,九龍牛頭角牛頭角道305-325A號官塘立成大廈2字樓I室,2499 7322,,
H/5976,SUPER STAR HOSTEL,"Flat 801, 8/F, Sincere House,83 Argyle Street, Mong Kok, Kowloon.",星際賓館,九龍旺角亞皆老街83號先施大廈8字樓801室,6312 3608,,
H/5979,GOLDEN BUSINESS HOSTEL,"Flat D, 8/F, Kingland Apartments,739 Nathan Road, Mong Kok,Kowloon.",金龍商務賓館,九龍旺角彌敦道739號金輪大廈8字樓D室,2789 8186,2749 5629,
H/5982,BIG WAVE TRAVEL,"Flat D, 11/F, Union Mansion,33-35 Chatham Road South,Tsim Sha Tsui, Kowloon.",大浪旅遊,九龍尖沙咀漆咸道南33-35號友聯大廈11字樓D室,6335 7733,,jerryycc78@gmail.com
H/5985,PRINCE HOSTEL HOLDINGS LIMITED,"Flat D, 7/F, Kingland Apartments,739 Nathan Road, Mong Kok, Kowloon.",太子賓館集團有限公司,九龍旺角彌敦道739號金輪大廈7字樓D室,2391 8852,,prince_hotel@yahoo.com
H/5992,PACIFIC LODGE,"Flat C1, 17/F, Block C, Chungking Mansion,40 Nathan Road, Tsim Sha Tsui, Kowloon.",PACIFIC LODGE,九龍尖沙咀彌敦道40號重慶大廈C座17字樓C1室,3104 1652,2368 3344,dhillonhotelshk@gmail.com
H/5996,3D INN HONG KONG DRAGON,"Flat F3, 4/F, Block F,Mirador Mansion, 58 Nathan Road, Tsim Sha Tsui, Kowloon.",3D龍門客棧,九龍尖沙咀彌敦道58號美麗都大廈F座4字樓F3室,2311 2520,2813 8837,
H/5999,藍天賓館,"Flat 1410, 14/F, Sun Hing Building,607 Nathan Road, Mong Kok, Kowloon.",藍天賓館,九龍旺角彌敦道607號新興大廈14字樓1410室,9408 3629,,s43747@gmail.com
H/6000,THE ROYAL GARDEN,"17/F-19/F, The Royal Garden,69 Mody Road, Tsim Sha Tsui East, Kowloon.",帝苑酒店,九龍尖沙咀東麼地道69號帝苑酒店17-19字樓,2721 5215,2397 9976,htlinfo@rghk.com.hk
H/6008,MILKTEA INN,"Flat C2, 7/F, Block C, Mirador Mansion,58 Nathan Road, Tsim Sha Tsui, Kowloon.",奶茶旅舍,九龍尖沙咀彌敦道58號美麗都大廈C座7字樓C2室,6253 5600,,
H/6009,AMY'S MOTEL,"Flat E, 2/F,31 Tsuen Wan Market Street, Tsuen Wan, New Territories. ",愛美斯賓館,新界荃灣荃灣街巿街31號2字樓E室 ,3591 3310,,
H/6013,揚州賓館,"Flat D3, 5/F,  Block D, Chungking Mansion,40 Nathan Road, Tsim Sha Tsui, Kowloon.",揚州賓館,九龍尖沙咀彌敦道40號重慶大廈D座5字樓D3室,6823 7205,,
H/6016,SUNRISE STAR ASIA LIMITED,"Flat E, 10/F, Comfort Building,88 Nathan Road,Tsim Sha Tsui, Kowloon.",SUNRISE STAR ASIA LIMITED,九龍尖沙咀彌敦道88號安樂大廈10字樓E室,9407 7374,,rainchung1017@yahoo.com.hk
H/6020,"HONG KONG SHUNNY INN., LIMITED","Flat B1, 6/F, Block B, Tsim Sha Tsui Mansion,87 Nathan Road, Tsim Sha Tsui, Kowloon.",香港新誼賓館有限公司,九龍尖沙咀彌敦道87號華源大廈B座6字樓B1室,6096 9958,,
H/6023,JOMO GUESTHOUSE,"Flat H & I, 16/F, Kim Tak Building,328-342A Nathan Road, Yau Ma Tei,Kowloon.",新進薈賓館,九龍油麻地彌敦道328-342A號儉德大廈16字樓H & I室,2333 7006,,jomoguesthouse@gmail.com
H/6024,GTA HOUSE,"Flat 13, 19, 43, 44, 46 on 1/F and Flat 5, 6, 7, 8, 25, 26, 31, 32 on 2/F, Block 1-3,Hong Kong Golf and Tennis Academy,81 Tai Chung Hau, Sai Kung, New Territories.",GTA HOUSE,"新界西貢大涌口81號Hong Kong Golf and Tennis Academy第1-3座 1字樓13,19,43,44,46室及2字樓5, 6, 7, 8,25, 26,31,32室",3187 8900,,guestservice@hkgta.com
H/6026,TRAININN,"Flat 3, 3/F, Alhambra Building,385 Nathan Road,Yau Ma Tei, Kowloon.",火車,九龍油麻地彌敦道385號平安大樓3字樓3室,9807 1471/9427 3270,,
H/6027,NEW JINXIANG HOSTEL,"Flat 6, 9/F, Alhambra Building,385 Nathan Road, Yau Ma Tei,Kowloon.",新金翔賓館,九龍油麻地彌敦道385號平安大樓9字樓6室,6823 7673,,295309206@qq.com
H/6028,NEW SEASONS GARDEN,"Flat 608, 6/F, Hai Phong Mansion,101 Nathan Road, Tsim Sha Tsui,Kowloon.",新季節花園,九龍尖沙咀彌敦道101號海防大廈6字樓608室,2312 7108,,seasonshotelhk@gmail.com
H/6029,TAJ PREMIUM GUEST HOUSE,"Flat E2&E3, 7/F, Block E,Mirador Mansion, 58 Nathan Road,Tsim Sha Tsui, Kowloon.",TAJ PREMIUM GUEST HOUSE,九龍尖沙咀彌敦道58號美麗都大廈E座7字樓E2及E3室,2732 2666,2368 4526,accounts@premiumguesthouse.com
H/6031,HONG TAI HOSTEL,"Flat 813, 8/F, Sincere House,83 Argyle Street, Mong Kok, Kowloon.",康帝賓館,九龍旺角亞皆老街83號先施大廈8字樓813室,6333 7571,,chanchunfai@hotmail.com
H/6037,凱德賓館,"Flat M, 2/F, New Lucky House,15 Jordan Road, Jordan, Kowloon.",凱德賓館,九龍佐敦佐敦道15號華豐大廈2字樓M室,3999 9221,,hoishinghotel@yahoo.com.hk
H/6042,WONG KUNG VILLA,"Flat E, 1/F, Kin Yick Building,86-90 Hop Yick Road,Yuen Long, New Territories.",皇宮賓館,新界元朗合益路86-90號建益樓1字樓E室,2642 0003,,anitachui2604@yahoo.com.hk
H/6048,NEW DAY NIGHT HOSTEL,"Flat D5, 10/F, Block D,Chungking Mansion, 40 Nathan Road,Tsim Sha Tsui, Kowloon.",NEW DAY NIGHT HOSTEL,九龍尖沙咀彌敦道40號重慶大廈D座10字樓D5室,3104 1652,2368 3344,dhillonhotelshk@gmail.com
H/6049,EMPIRE PRESTIGE CAUSEWAY BAY,"G/F to Top Roof, 8A Wing Hing Street,Causeway Bay, Hong Kong.",EMPIRE PRESTIGE CAUSEWAY BAY,香港銅鑼灣永興街8A號地下至天台高層,3692 2311,3692 2322,
H/6052,HYGGE RESIDENCE,"Flat 802, 8/F, Cheong Hing Building,72 Nathan Road, Tsim Sha Tsui, Kowloon.",品柔居,九龍尖沙咀彌敦道72號昌興大廈8字樓802室,2739 3939,,comfortguesthouse@gmail.com
H/6053,FIRST GUEST HOUSE,"Flat B2, 7/F, Mirador Mansion,58 Nathan Road, Tsim Sha Tsui, Kowloon.",第一賓館,九龍尖沙咀彌敦道58號美麗都大廈7字樓B2室,3613 5717,,hkpeaceguesthouse@gmail.com
H/6055,STAR STAR INN,"Flat B1, 8/F, Block B,Tsim Sha Tsui Mansion, 87 Nathan Road,Tsim Sha Tsui, Kowloon.",星星賓館,九龍尖沙咀彌敦道87號華源大廈B座8字樓B1室,6795 4121,,skinpify@gmail.com
H/6056,KAJ WONG HOUSE,"Flat 5, 12/F, Sincere House,83 Argyle Street, Mong Kok, Kowloon.",佳旺賓館,九龍旺角亞皆老街83號先施大廈12字樓5室,9493 0207,,
H/6062,ATTITUDE ON GRANVILLE,"G/F(Portion), 5-15/F, 20-22 Granville Road, Tsim Sha Tsui, Kowloon. ",瑞生尖沙咀酒店,"九龍尖沙咀加連威老道20-22號 地下(部份),5-15字樓",2105 3888,2105 3820,jayleung@soravithotels.com
H/6063,富田賓館－雅緻館,"Flat 14A, 4/F, Wing Wah Building,14-24 Sai Yeung Choi Street South,Mong Kok, Kowloon.",富田賓館－雅緻館,九龍旺角西洋菜南街14-24號榮華大樓4字樓14A室,2668 9296,,
H/6067,ACESITE KNUTSFORD HOTEL,"5/F - 13/F, Hydro House,6-8 Observatory Court, Tsim Sha Tsui, Kowloon.",樂仕酒店,九龍尖沙咀天文臺圍6-8號粵利閣5-13字樓,2377 1180,2377 2272,knutsford@acesitehotel.com
H/6073,HOTEL EASE．TSUEN WAN,"G/F-22/F, Hotel Ease,Ban Thong Building,15-19 Chun Pin Street, Kwai Chung, New Territories.",旭逸酒店．荃灣,新界葵涌圳邊街15-19號萬通大廈旭逸酒店地下至22字樓,3958 8333,3958 8300,info.hetw@hotelease.com.hk
H/6082,MING DU GUESTHOUSE,"2/F, Hang Lung Mansion,578-580 Nathan Road,Yau Ma Tei, Kowloon.",名都賓館,九龍油麻地彌敦道578-580號恒隆大廈2字樓,6693 3221,,627900719@qq.com
H/6086,LEO INN EXPRESS,"Flat 11, 11/F, Hai Phong Mansion,101 Nathan Road, Tsim Sha Tsui,Kowloon.",奧．旅館,九龍尖沙咀彌敦道101號海防大廈11字樓11室,3158 1875,,cs@leoinn.com.hk
H/6087,POLAR BEAR INN,"Flat 1507, 15/F, Sincere House,83 Argyle Street, Mong Kok, Kowloon.",北極熊旅舍,九龍旺角亞皆老街83號先施大廈15字樓1507室     ,5128 1908,,polarbearinn@gmail.com
H/6097,WEALTH,"Flat G, 2/F, Block 12,Bela Vista Villa,DD CC 1491, Cheung Chau.",盈富,長洲長洲地段第1491號東堤小築12座2樓G室,6177 5519,,yaufung123@gmail.com
H/6101,JORDAN GUEST HOUSE,"Flat A, 12/F, Lucky House,22 Jordan Road, Jordan, Kowloon.",琼山賓館,九龍佐敦佐敦道22號鴻運大樓12字樓A室,2735 0881,,chankm881@yahoo.com.hk
H/6102,DHILLON HOSTEL,"Flat E2, E4 & E6, 17/F, Block E,Chungking Mansion, 40 Nathan Road,Tsim Sha Tsui, Kowloon.",DHILLON HOSTEL,"九龍尖沙咀彌敦道40號重慶大廈E座17字樓E2, E4及E6室",3104 1651,2368 3344,dhillonhotelshk@gmail.com
H/6104,HO MONG KOK HOSTEL,"Flat 412, 4/F, Sincere House,83 Argyle Street, Mong Kok,Kowloon.",好旺角賓館,九龍旺角亞皆老街83號 先施大廈4字樓412室,9193 0632,,
H/6106,HOTEL HART,"6/F-14/F, Roof & Upper roof,4 Hart Avenue, Tsim Sha Tsui, Kowloon.",客舍,"九龍尖沙咀赫德道4號6-14字樓,天台及天台高層",2991 0000,2991 0001,matthewchue@hotelhart.com
H/6109,HYGGE HOUSE,"Flat 801, 8/F, Cheong Hing Building,72 Nathan Road, Tsim Sha Tsui, Kowloon.",品休遊,九龍尖沙咀彌敦道72號昌興大廈8字樓801室,2739 3939,,comfortguesthouse1@gmail.com
H/6111,ATLAS GUESTHOUSE & BACKPACKERS,"Flat A & B, 7/F, Comfort Building,88 Nathan Road,Tsim Sha Tsui, Kowloon.",ATLAS GUESTHOUSE & BACKPACKERS,九龍尖沙咀彌敦道88號安樂大廈7字樓A&B室,3706 5955,,reservations@stayatlas.asia
H/6112,"TAI O INN, BY THE SEA","Flat B, 2/F, DD 302 LOT 430,Shek Tsai Po Street, Tai O, Lantau Island.",海悠居,大嶼山大澳石仔街2字樓B室丈量約份302約地段第430號,6024 9935,,taioinn@gmail.com
H/6115,SILKA TSUEN WAN HONG KONG,"G/F(Portion), 1/F(Portion), 2/F(Portion),3/F, 5/F-12/F, 15/F-UR/F,119 Wo Yi Hop Road, Kwai Chung, New Territories.",香港荃灣絲麗酒店,"新界葵涌和宜合道119號地下(部份), 1字樓(部份), 2字樓(部份), 3字樓, 5字樓-12字樓,15字樓-天台高層",3700 3888,3700 3838,info.tsuenwan@silkahotels.com
H/6116,FU YUNG MOTEL,"Flat H, 3/F, Kingland Apartments,739 Nathan Road, Mong Kok,Kowloon.",芙蓉賓館,九龍旺角彌敦道739號金輪大廈3字樓H室,2398 7287,,
H/6118,SUPER HOSTEL LIMITED,"5/F, Kar Lock Building,5 Lock Road, Tsim Sha Tsui, Kowloon.",超級旅館有限公司,九龍尖沙咀樂道5號嘉樂大廈5字樓,9780 1785,,lamyuetman2388@gmail.com
H/6124,BAYSHORE INN,"G/F(PORTION), 1/F, 2/F,29 Hung Shing Yeh Beach,Yung Shue Wan, Lamma Island.",BAYSHORE INN,"南丫島榕樹灣洪聖爺灣泳灘29號地下(部分), 1字樓, 2字樓",2982 1668,2982 0022,booking@concertoinn.com.hk
H/6125,SUN TAO GUEST HOUSE,"Flat 12, 7/F, Alhambra Building,385 Nathan Road, Yau Ma Tei, Kowloon.",新都賓館,九龍油麻地彌敦道385號平安大樓7字樓12室,9166 6019,,
H/6126,TAK SHING RESORT HOUSE,"Flat F, 2/F,  Block 12,Bela Vista Villa,DD CC 1491, Cheung Chau.",德盛渡假屋,長洲長洲地段第1491號東堤小築12座2字樓F室,9194 6710,,cctakshing@gmail.com
H/6127,METAPLACE HOTEL,"G/F-28/F, 7 Moreton Terrace,Causeway Bay, Hong Kong.",名迪港島酒店,香港銅鑼灣摩頓臺7號地下-28字樓,3163 8888,,
H/6128,WOODSTOCK HOSTEL,"Flat A3, 16/F, Block A, Chungking Mansion,40 Nathan Road, Tsim Sha Tsui, Kowloon.",WOODSTOCK HOSTEL,九龍尖沙咀彌敦道40號重慶大廈A座16字樓A3室,2368 2505,,mrspau@yahoo.com.hk
H/6130,BURLINGTON HOTEL,"G/F-4/F(Portion), 5/F-18/F,19/F(Portion), 20/F-29/F, Roof (Portion), 55 Hennessy Road,Wan Chai, Hong Kong.",百利酒店,"香港灣仔軒尼詩道55號地下-4字樓(部份), 5-18字樓,19字樓(部份), 20-29字樓, 天台(部份)",3700 1000,3700 1001,fo@burlington-hk.com
H/6132,FORTUNE INN,"Flat 16A, 5/F, Wing Wah Building,14-24 Sai Yeung Choi Street South,Mong Kok, Kowloon.",明華賓館,九龍旺角西洋菜南街14-24號榮華大樓5字樓16A室,6999 6330,,fortunehotelmongkok@gmail.com
H/6135,BLUE WAVE COTTAGE,"Flat D, G/F, Block 1,Bela Vista Villa,DD CC 1491, Cheung Chau.",藍浪小屋,長洲長洲地段第1491號東堤小築1座地下D室,9100 0902,,
H/6138,SKY ONE,"B/F-3/F(Portion), 4/F-20/F and Roof(Portion),8 Tin Sau Road, Tin Shui Wai, New Territories.",琇居,"新界天水圍天秀路8號地庫-3字樓(部份), 4-20字樓及天台(部份)",9366 8453,2254 7080,info@tsw-yh.org.hk
H/6139,DOUBLE SEVEN GUEST HOUSE,"Flat A7, 7/F, Block A, Chungking Mansion,40 Nathan Road, Tsim Sha Tsui, Kowloon.",達運賓館,九龍尖沙咀彌敦道40號重慶大廈A座7字樓A7室,5408 6011,,
H/6140,HANG FAI,"Flat E, 13/F, Lai Shing Building,15-17 Man Ming Lane,Yau Ma Tei, Kowloon.",恒暉,九龍油麻地文明里15-17號麗星大廈13字樓E室,2865 9986,,
H/6144,SLEEEP,"1/F, 242 Queen's Road Central,Sheung Wan, Hong Kong.",眠舍,香港上環皇后大道中242號1字樓,9604 6049,,xo.hkg@exp.is
H/6147,MELBOURNE HOSTEL,"Flat E1, 10/F, Block E, Chungking Mansion,40 Nathan Road, Tsim Sha Tsui, Kowloon.",MELBOURNE HOSTEL,九龍尖沙咀彌敦道40號重慶大廈E座10字樓E1室,3104 1651,2368 3344,dhillonhotelshk@gmail.com
H/6149,NEW MANDARIN GUEST HOUSE,"Flat A9, 8/F, Block A, Chungking Mansion,40 Nathan Road, Tsim Sha Tsui, Kowloon.",新文華賓館,九龍尖沙咀彌敦道40號重慶大廈A座8字樓A9室,9310 0347,,
H/6153,B&B VIENNA GUEST HOUSE (CHEUNG CHAU),"1/F-2/F, 85 Tung Wan Road,Cheung Chau.",住得好(維也納)渡假旅館,長洲東灣路85號1-2字樓,2986 9990,2986 9980,info@ibnb.com.hk
H/6155,TANKITYOU HOTEL,"5 Minden Avenue,Tsim Sha Tsui, Kowloon. ",丹木町酒店,九龍尖沙咀棉登徑5號,2780 3118,,cs@tankityouhotel.com
H/6157,UKKEI INN,"Flat E, 10/F, Lai Shing Building,495- 497A Nathan Road,Yau Ma Tei, Kowloon.",屋企旅舍,九龍油麻地彌敦道495-497A號麗星大廈10字樓E室,5487 4474,,ukkei.inn@gmail.com
H/6158,MONG KOK E2 BOUTIQUE GUEST HOUSE,"Flat 2005, 20/F, Sun Hing Building,607 Nathan Road, Mong Kok, Kowloon.",旺角E2精品賓館,九龍旺角彌敦道607號新興大廈20字樓2005室,2770 1801,,
H/6162,IND HOTEL,"G/F-6/F, 326 Kwun Tong Road,Kwun Tong, Kowloon.",工業家酒店,九龍觀塘觀塘道326號地下至6字樓,2722 0002,2197 9868,info@indhotel.com
H/6163,MONG KOK E1 BOUTIQUE GUEST HOUSE,"Flat 2008, 20/F, Sun Hing Building,607 Nathan Road, Mong Kok, Kowloon.",旺角E1精品賓館,九龍旺角彌敦道607號新興大廈20字樓2008室,9629 8258,,
H/6166,MANDARIN GUEST HOUSE,"Flat E5, 13/F, Block E, Chungking Mansion,40 Nathan Road, Tsim Sha Tsui, Kowloon.",文華賓館,九龍尖沙咀彌敦道40號重慶大廈E座13字樓E5室,6501 2801,,
